Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2020-02-14,1170.5498046875,705.7133178710938,670.4080200195312,2025.88330078125,1198.4372280382765,717.1544071497443,676.6496910633479,2051.6683277663415,1166.373921491974,704.0532053886855,654.8600685312213,2013.6401173511424,1193.4452693390701,712.9368966186547,665.7436285563318,2029.407911913542,7344429,5321680,21227841,1500115
2020-02-17,1168.4378662109375,708.4053344726562,666.1942749023438,2043.552978515625,1183.6535021487043,711.9946957926577,678.7678073251254,2056.306344431699,1165.8458539245034,702.886669535431,664.4141721625188,2031.448829575428,1175.9736740731246,709.1680518454336,671.0389268529526,2037.7095728433187,5076345,2929629,13149130,1774724
2020-02-18,1164.694091796875,715.763427734375,661.3045654296875,2055.146728515625,1169.7339796863732,717.0196711445406,665.1352219037083,2060.016194982829,1155.3343000020927,703.200665016926,656.7979319898034,2027.5995063615223,1168.198037290362,704.4120523712462,665.1352219037083,2040.4919079539604,5264558,5083346,11127161,2486223
2020-02-19,1178.0855712890625,718.2760620117188,677.708740234375,2037.15283203125,1180.7735579697733,722.2243265136864,678.9029962658444,2068.363700430735,1165.317927517876,714.4175096330185,664.7746868901794,2031.726764929832,1173.573719201665,717.8722479184034,666.6899850034226,2055.1465781297766,5006134,3985192,14084409,1760463
2020-02-20,1168.3900146484375,715.18017578125,669.6644287109375,2000.4696044921875,1180.7737629159992,723.3459501089236,679.6015610199661,2053.894471690154,1165.5100786413254,712.3535320997388,668.6954982941597,1995.3218375537808,1180.7737629159992,720.7885523165484,674.6442761901628,2044.7121398662684,5561707,4564569,16892268,2317278
2020-02-24,1161.526123046875,714.1482543945312,651.1871337890625,1962.0242919921875,1166.1340674501685,728.2813640907812,665.6308985146259,2021.0142708628525,1151.97438233398,710.8281391067295,648.7535566905132,1954.0011295140528,1160.56614439493,717.9619506617734,662.3635864578695,1999.7277888998226,8284042,6627536,21370214,3092877
2020-02-25,1152.2623291015625,716.4365234375,638.3207397460938,1999.8665771484375,1160.6140958203607,723.256287866985,654.0939566084251,2018.88068409294,1150.0543315076857,713.7445025149182,635.436451056696,1957.9892565778077,1155.814202950963,716.974905714294,654.0939566084251,1962.163084931479,6943340,6996695,27745062,2674567
2020-02-26,1151.2542724609375,702.39306640625,627.3245239257812,1969.67578125,1156.4861086680041,719.1733396939293,636.495549286164,2007.0545463808176,1138.1985876590406,700.3740508848011,625.2289651479036,1959.797586376968,1149.5743100037296,712.4432879557666,635.4364885721554,1997.8722159106194,6907393,8760569,29362748,2686842
2020-02-27,1151.4462890625,697.9961547851562,624.733154296875,1952.8878173828125,1154.37427067705,700.5984636536162,628.1356615909026,1966.290398055019,1133.7347307023667,692.9262147749597,616.9591492405643,1934.9866869001057,1147.1744311509976,698.1307777425725,625.5217639254018,1966.290398055019,10327549,5223386,25054993,2349001
2020-02-28,1130.518798828125,656.5838623046875,598.77490234375,1855.173828125,1137.5746179582306,679.1070803435375,611.5512576830159,1919.497132936012,1123.270913670977,647.9245071107355,597.1299950283046,1845.7595044902941,1128.4548214429537,673.0051776863747,610.6048297934824,1918.1058569276022,12156528,14123957,39315769,4298076
